massa,ph,brix
115.62,3.46,13.19
129.55,3.46,13.11
116.75,3.55,12.88
115.68,3.6,12.83
121.35,3.59,12.95
115.46,3.54,13.15
122.5,3.5,13.02
123.76,3.43,13.11
116.69,3.66,12.85
110.98,3.44,13.01
121.3,3.51,13.13
111.69,3.59,12.76
116.74,3.6,12.83
118.08,3.7,12.88
124.18,3.49,13.11
127.21,3.35,12.84
122.89,3.58,13.07
116.98,3.61,12.97
125.84,3.63,13.07
117.94,3.55,12.91
121.97,3.56,13.06
130.38,3.69,12.93
126.01,3.56,12.59
114.96,3.41,12.93
120.09,3.77,13.07
118.9,3.68,12.56
121.18,3.68,12.7
125.72,3.63,12.92
123.16,3.83,13.04
121.24,3.55,12.83
124.15,3.51,13.01
117.61,3.65,13.07
125.19,3.55,12.95
115.11,3.56,13.08
159.08,3.81,15.67
166.27,3.94,15.88
140.71,3.78,15.14
167.95,3.97,15.49
153.36,3.79,15.99
151.55,3.91,15.65
155.77,3.92,15.34
155.66,4.09,15.77
169.12,3.85,15.3
148.49,3.91,15.72
129.69,4.05,15.47
144.88,3.8,15.17
159.88,3.91,15.24
134.46,3.87,15.83
146.88,3.75,15.45
146.73,3.63,15.49
147.23,3.97,15.87
163.52,3.87,15.28
180.88,3.91,15.5
149.71,3.92,15.47
143.12,3.85,15.49
143.48,3.83,15.52
146.94,4.05,14.97
163.1,4.02,15.09
145.89,3.86,15.22
140.67,3.79,15.85
161.23,4.03,15.64
136.45,3.85,15.6
135.33,3.97,15.45
145.5,3.97,15.59
145.67,4.02,15.28
157.39,3.96,15.44
153.91,3.77,15.68
147.78,3.85,15.71
141.55,3.76,15.19
157.27,3.77,15.85
125.02,4.07,15.54
148.84,3.85,15.58
149.55,4.01,15.52
151.8,3.86,15.49
153.69,3.73,15.23
158.92,3.92,15.46
150.22,3.93,15.39
140.66,3.92,15.3
154.9,3.73,15.71
155.67,3.93,15.7
169.99,4.0,15.13
134.65,3.84,15.51
156.21,3.83,15.54
140.94,3.84,15.22
138.92,3.76,15.3
162.64,3.81,16.03
155.92,3.92,15.33
158.4,3.84,15.52
180.72,3.89,15.73
141.56,3.9,15.85
142.48,4.08,15.64
143.25,3.96,15.69
157.46,3.74,15.35
147.03,3.89,15.62
152.13,3.77,15.58
157.33,3.96,15.72
160.01,3.95,15.49
130.07,3.94,15.54
153.26,3.77,15.28
162.64,3.9,15.64
150.34,3.9,15.69
143.81,3.91,15.41
144.79,3.87,15.54
144.26,4.03,15.32
147.76,3.86,15.79
152.36,4.0,15.2
153.2,3.99,15.52
162.79,3.85,15.78
177.59,3.86,15.41
167.44,4.06,15.4
144.96,3.87,15.23
138.98,3.8,15.35
149.58,3.92,15.81
138.02,4.0,15.46
149.41,3.97,15.28
154.59,3.92,15.6
153.47,4.15,15.37
143.63,3.84,15.39
142.35,4.02,15.78
143.15,3.82,15.59
143.37,3.96,15.54
131.81,4.05,15.86
142.65,3.86,15.56
154.01,3.97,15.9
147.88,3.82,15.22
141.23,3.9,15.86
143.79,3.92,15.5
164.26,4.15,15.39
144.13,4.0,15.64
172.16,3.96,15.43
157.09,4.01,15.66
156.09,4.01,15.73
166.59,3.96,15.47
151.76,4.02,15.34
