massa,temperatura,frequencia_cardiaca
18.524,28.4,50
28.391,28.9,19
21.627,34.7,32
6.639,29.2,50
2.651,27.0,50
9.723,30.7,50
2.013,33.0,50
9.604,32.0,50
13.059,30.5,50
12.313,35.0,49
5.752,28.1,50
4.901,33.6,50
5.434,27.5,50
5.582,31.9,50
1.0,34.6,50
5.098,28.8,50
12.676,32.0,50
8.584,27.6,49
4.153,29.9,50
5.859,30.7,50
19.507,35.0,36
6.084,33.1,50
24.774,31.8,27
14.725,33.3,50
14.058,33.2,50
21.057,31.9,36
11.174,33.6,49
0.01184,17.6,401
0.01639,21.1,402
0.0032,24.5,432
0.02082,18.2,411
0.01125,29.5,395
0.0114,23.6,409
0.00777,21.2,454
0.00487,20.8,365
0.01598,10.9,372
0.01189,29.4,397
0.00722,30.0,328
0.001,22.6,375
0.00489,24.3,412
0.00718,12.3,444
0.01325,19.4,492
0.00465,10.8,365
0.00977,21.5,388
0.01176,12.5,472
0.00959,26.7,417
0.01228,23.4,422
0.01321,28.0,410
0.01355,19.5,472
0.00662,30.0,398
0.00285,20.8,366
0.0142,16.1,378
0.001,17.3,279
0.00208,24.6,439
0.01213,14.2,398
0.00998,13.0,475
0.01439,18.7,401
0.01104,10.0,388
0.00659,14.0,386
0.01899,23.8,371
0.01286,28.4,446
0.0103,16.1,435
0.01197,25.4,432
0.01525,16.8,466
0.01099,30.0,366
0.01868,21.2,367
0.00758,18.1,421
0.01261,16.6,399
0.02071,30.0,422
0.01019,20.7,431
0.00489,18.5,317
0.012,23.9,376
0.01787,12.6,327
0.01112,26.3,484
0.00771,26.5,398
0.00914,25.3,433
0.00212,28.9,469
0.00687,22.4,425
0.0113,16.7,366
0.00987,27.0,427
0.00815,24.6,258
0.01574,10.0,382
0.0044,12.2,458
0.00766,22.1,398
0.01239,20.5,336
0.01498,17.0,322
0.00786,29.0,443
0.00826,17.9,384
0.02038,22.3,422
0.01515,21.4,387
0.00902,19.6,398
0.01364,20.3,437
0.0096,20.5,300
0.01458,22.1,450
0.001,30.0,393
0.01554,13.8,431
0.00473,16.3,496
0.00905,21.3,444
0.01248,20.9,418
0.02202,19.7,410
0.01525,26.6,459
0.01319,13.1,482
0.00427,21.8,362
0.00968,22.0,416
0.01211,29.7,423
0.00878,25.8,459
0.00386,23.6,435
0.00851,28.3,392
0.01063,19.0,401
0.00452,11.4,480
0.00577,14.1,292
0.00681,12.1,482
0.01505,15.9,513
0.01491,18.1,275
0.02145,11.7,318
0.01511,30.0,469
0.01282,23.6,443
0.01379,21.7,405
0.00969,15.5,386
0.00154,19.4,351
0.00448,21.1,470
0.01459,10.6,351
0.0147,14.1,389
0.01275,14.2,405
0.00333,16.4,416
0.00204,22.6,399
0.01276,21.3,468
