Quartos,Banheiros,Distância ao centro (km),Garagem,Preço (R$)
2,2,1.8,0,1525
2,1,0.8,1,1550
1,1,0.3,1,1500
1,1,0.2,0,1525
2,1,0.5,0,1525
2,1,0.7,0,1525
2,1,0.5,0,1575
2,1,0.5,0,1525
1,1,0.3,1,1550
2,2,1.8,0,1525
2,2,1.6,0,1550
2,2,1.9,0,1525
2,2,1.3,0,1525
2,1,1.1,1,1500
2,1,0.5,0,1550
2,1,0.8,1,1550
2,2,0.8,0,1575
2,2,1.7,1,1525
2,1,0.9,1,1575
2,2,1.3,0,1500
1,1,0.2,0,1600
3,1,1.8,0,1600
2,1,0.5,0,1625
2,2,1.4,1,1625
2,1,0.8,1,1600
2,2,1.6,1,1625
2,1,0.7,1,1575
2,2,1.8,1,1600
2,2,0.7,0,1625
2,1,0.7,1,1575
2,2,1.1,0,1650
2,1,0.4,0,1600
2,2,1.7,1,1625
2,1,0.9,1,1575
1,1,0.2,0,1600
2,1,0.7,1,1625
2,2,1.3,1,1625
2,2,1.0,0,1575
2,2,1.7,1,1600
2,2,1.8,1,1600
2,1,0.5,1,1700
2,1,0.4,0,1650
2,1,0.5,0,1650
2,2,1.2,1,1725
2,2,1.5,1,1650
3,1,1.8,0,1675
1,1,0.2,1,1700
2,2,0.7,0,1700
3,1,1.3,0,1700
3,1,1.8,0,1675
3,1,1.4,0,1675
3,1,1.4,0,1700
3,1,1.5,0,1650
3,1,1.5,0,1700
2,1,0.5,0,1650
2,2,1.4,1,1675
2,1,0.5,0,1675
2,1,0.6,1,1650
3,1,2.0,1,1775
2,2,0.7,0,1775
2,1,0.3,0,1775
3,1,2.0,0,1800
3,1,0.9,0,1800
3,1,0.9,0,1775
3,1,1.5,0,1800
3,1,1.5,0,1750
2,2,0.8,1,1750
3,1,2.0,1,1800
2,2,0.8,1,1725
3,1,1.0,0,1800
3,1,1.0,0,1800
2,1,0.3,0,1800
3,2,1.8,0,1775
2,1,0.3,0,1775
2,2,0.8,1,1800
3,2,1.9,0,1825
3,1,1.9,1,1875
2,2,0.8,1,1825
3,2,2.0,0,1875
3,2,1.7,0,1875
2,2,0.6,0,1850
2,2,0.5,0,1875
3,1,1.4,1,1875
2,2,0.5,0,1825
3,1,0.8,0,1875
3,1,0.9,1,1875
2,1,0.4,0,1825
3,2,2.0,0,1875
3,1,1.4,1,1875
2,1,0.3,0,1825
3,2,1.6,0,1900
3,2,1.2,0,1900
2,1,0.3,0,1900
3,1,1.5,1,1925
3,2,1.6,0,1950
3,1,1.3,1,1925
3,2,1.4,0,1925
3,2,2.0,0,1900
3,1,1.6,1,1925
3,1,1.5,1,1900
3,2,2.0,0,1950
3,2,1.5,0,1950
3,1,1.1,1,1925
3,2,1.6,1,2050
3,2,1.6,1,2025
3,2,1.7,1,2050
3,1,1.4,1,1975
3,1,0.8,1,2050
3,2,1.1,0,2025
3,2,1.0,0,2025
3,2,1.7,1,2025
2,1,0.2,0,2050
2,2,0.3,0,2000
3,2,1.8,1,2050
2,2,0.4,1,2075
2,2,0.3,0,2075
3,1,0.6,1,2100
3,2,1.6,1,2075
3,2,1.1,1,2075
3,2,0.7,0,2125
2,1,0.2,0,2100
3,2,1.9,1,2075
3,2,0.7,0,2100
3,2,0.5,0,2150
3,2,1.4,1,2175
3,2,1.0,1,2125
3,2,1.3,1,2150
3,1,0.5,1,2175
3,2,1.1,1,2150
3,2,0.9,1,2175
3,1,0.3,0,2275
3,2,0.6,1,2250
3,1,0.3,0,2225
3,2,0.9,1,2225
3,2,0.6,1,2250
3,2,0.7,1,2300
3,2,0.4,0,2300
3,2,0.7,1,2300
3,2,0.4,0,2325
3,2,0.4,0,2400
3,2,0.5,1,2400
2,2,0.2,1,2425
3,2,0.4,1,2450
3,2,0.3,0,2500
3,2,0.3,0,2550
3,2,0.3,1,2650
3,1,0.2,1,2725
1,1,1.1,0,600
1,1,0.9,0,800
2,1,1.0,0,1300
2,1,1.0,1,1400
3,2,0.2,0,1275
