Peso (g),Brix (°Brix),pH,Índice de Qualidade
10.27,13.84,3.45,3.5
10.93,17.85,3.54,6.2
11.25,17.85,3.55,5.47
11.57,19.45,3.75,2.83
4.41,17.43,3.64,4.52
5.66,15.41,3.95,6.57
5.11,15.57,3.75,5.22
12.12,15.22,3.63,2.03
9.72,19.1,3.33,7.47
10.47,17.87,3.63,7.34
4.52,18.41,3.43,3.93
6.65,14.25,3.56,6.5
12.08,16.63,3.46,2.93
9.84,19.3,3.23,6.16
6.83,16.15,3.51,8.67
6.4,14.62,3.37,6.64
4.91,17.54,3.69,5.53
4.22,14.41,4.04,1.56
5.63,13.56,3.9,3.35
6.81,13.24,3.8,4.08
7.42,20.0,3.65,7.24
6.48,18.45,3.33,7.53
9.04,20.0,3.76,5.88
11.55,17.43,4.08,5.34
3.97,17.07,3.97,3.41
5.89,19.34,3.95,6.1
7.76,13.97,4.0,5.31
7.1,13.96,3.99,5.8
8.34,14.21,3.66,6.44
7.85,13.85,3.79,6.56
5.14,13.27,3.31,1.03
11.35,14.93,3.7,4.18
3.81,17.01,3.98,3.08
10.78,18.36,2.92,4.71
3.01,13.08,3.63,0.5
7.83,13.45,3.74,4.51
6.05,13.71,3.61,4.4
4.61,14.72,3.56,3.31
9.6,20.0,3.92,5.16
4.67,15.58,3.0,3.78
5.11,16.04,3.66,6.26
4.02,15.71,3.73,2.61
10.09,15.77,3.66,7.63
12.19,15.51,3.52,1.38
4.3,16.92,3.51,5.45
10.24,19.04,3.56,5.96
6.84,19.13,3.99,7.82
11.33,15.83,3.44,4.15
11.67,17.27,3.64,4.0
4.08,17.03,3.85,3.95
10.34,14.57,3.52,4.87
8.36,12.9,3.57,3.2
8.6,13.21,3.51,4.02
12.48,17.4,3.87,1.73
9.29,14.91,3.62,7.36
7.3,13.8,3.59,6.53
3.43,16.61,3.72,1.51
4.39,17.34,3.67,4.06
10.58,15.14,3.98,5.18
9.18,18.82,3.58,8.8
5.31,19.37,3.55,5.0
6.09,16.0,3.77,8.14
6.18,18.77,3.87,6.83
11.79,15.58,3.4,3.11
11.83,18.1,3.38,3.28
4.78,17.01,3.08,5.28
10.67,18.1,3.5,5.95
9.17,20.0,3.65,5.77
9.74,13.83,3.38,5.02
4.03,17.23,4.1,3.45
7.4,12.81,3.43,3.01
6.71,14.57,3.66,6.8
10.23,18.29,3.43,7.45
12.19,18.55,3.89,2.04
4.93,16.55,3.71,5.46
10.14,18.99,3.69,5.74
9.79,15.13,3.56,7.24
5.14,15.1,3.74,5.32
4.36,16.43,3.83,4.92
10.09,14.48,3.41,5.0
11.22,19.24,3.73,4.21
9.53,13.6,3.82,4.01
5.11,18.1,3.22,6.17
8.65,13.45,3.5,4.99
9.28,17.26,3.57,9.57
4.68,19.79,3.67,2.11
11.21,16.74,3.95,5.55
10.94,14.57,3.27,3.9
6.44,13.61,3.83,4.42
6.1,15.43,4.1,7.73
11.69,18.16,3.53,4.48
